t,S1 ref T,S1 air 1 T,S1 air 2 T,S1 mix T,S2 ref T,S2 air 1 T,S2 air 2 T,S2 mix T,S1 ref P,S1 mix P,S2 ref P,S2 mix P
148.737448,55.167421,57.698315,59.184998,56.389329,55.257410,58.296796,58.399671,55.857749,6.320231,12.626195,8.089530,8.270997
149.738081,55.155093,57.705325,59.168891,56.371627,55.250032,58.283828,58.405570,55.852622,6.313750,12.616474,8.076568,8.267756
150.738842,55.156639,57.698780,59.170495,56.375033,55.241454,58.284759,58.394597,55.855517,6.329953,12.603512,8.112213,8.267756
151.739683,55.152073,57.704781,59.177812,56.376513,55.245887,58.291630,58.388889,55.852077,6.313750,12.626195,8.079809,8.258035
152.740128,55.151006,57.686414,59.172919,56.365544,55.246844,58.288083,58.382422,55.848086,6.336434,12.606752,8.099251,8.258035
153.739909,55.145726,57.691926,59.177406,56.370036,55.243589,58.283137,58.388033,55.845282,6.329953,12.619714,8.089530,8.267756
154.740692,55.144636,57.694208,59.165402,56.366111,55.242500,58.289323,58.380069,55.843293,6.329953,12.597031,8.115454,8.264516
155.741239,55.153344,57.692793,59.180328,56.370714,55.254582,58.289655,58.379727,55.857620,6.326712,12.603512,8.112213,8.267756
156.740748,55.147028,57.694799,59.171296,56.363243,55.230043,58.293646,58.367097,55.845909,6.326712,12.639157,8.105732,8.261275
157.741470,55.149896,57.689126,59.161447,56.370244,55.240336,58.282895,58.368475,55.847203,6.349396,12.616474,8.108973,8.248313
158.741233,55.148794,57.690497,59.175240,56.365169,55.234510,58.281195,58.377332,55.851948,6.336434,12.619714,8.108973,8.270997
159.741780,55.154575,57.706830,59.182808,56.369150,55.241865,58.285172,58.375468,55.855703,6.329953,12.616474,8.099251,8.274237
160.742222,55.153785,57.684471,59.175779,56.353119,55.237700,58.272300,58.369785,55.845017,6.307270,12.629436,8.102492,8.245073
161.741929,55.151217,57.695163,59.174156,56.361161,55.240981,58.278089,58.365466,55.843350,6.329953,12.622955,8.121935,8.264516
162.741874,55.157163,57.700203,59.183543,56.367863,55.246253,58.289725,58.370813,55.857165,6.346155,12.606752,8.092771,8.254794
163.742432,55.152135,57.698327,59.173787,56.367986,55.235826,58.274350,58.376552,55.851464,6.333193,12.635917,8.102492,8.277478
164.741653,55.152969,57.706799,59.183748,56.383582,55.250157,58.277802,58.383822,55.855896,6.320231,12.622955,8.131656,8.274237
165.741877,55.143065,57.688370,59.173065,56.369962,55.245879,58.280367,58.374932,55.852968,6.304029,12.609993,8.099251,8.264516
166.741833,55.143622,57.689151,59.164879,56.358167,55.232488,58.273750,58.366293,55.842505,6.323472,12.603512,8.118694,8.254794
167.741977,55.157792,57.701954,59.178209,56.375112,55.258805,58.281469,58.382997,55.864541,6.320231,12.603512,8.092771,8.270997
168.741988,55.165862,57.703273,59.178792,56.369850,55.247302,58.287219,58.380884,55.859339,6.326712,12.629436,8.076568,8.274237
169.743471,55.154285,57.692160,59.179475,56.375256,55.249899,58.269708,58.374605,55.851589,6.329953,12.609993,8.115454,8.261275
170.743095,55.155017,57.697161,59.174393,56.381409,55.254456,58.263501,58.379180,55.850298,6.313750,12.626195,8.105732,8.261275
171.743207,55.157938,57.698056,59.180328,56.373637,55.251752,58.273256,58.371191,55.850293,6.320231,12.616474,8.121935,8.258035
172.743242,55.159535,57.690664,59.183827,56.386359,55.251324,58.277881,58.388842,55.862235,6.300789,12.609993,8.089530,8.264516
173.742999,55.165655,57.702842,59.176490,56.377438,55.254969,58.274583,58.393182,55.863630,6.326712,12.609993,8.105732,8.270997
174.743282,55.150940,57.702302,59.176049,56.361932,55.243855,58.255049,58.380162,55.851395,6.304029,12.597031,8.108973,8.270997
